OBJECTID,Trap Type,Trap Number,Trap Set Date,Trap Pull Date,Active,Location Notes,Week,Site Name,EGC Captured?,Prospecting Trap?,MMP Trap?,TrapIDJoin,Latitude,Longitude,created_date,created_user,last_edited_date,last_edited_user,GlobalID,x,y
139,Minnow,8,20180416,20180420,No,,,,No,0,0,Minnow-008_4/16/2018,48.17372094,-123.1362387,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,ae66e3cf-0b1c-4413-bbf7-2fe0f3668c4b,-123.1362387,48.17372094
140,Minnow,102,20180409,20180411,No,Originally gps'd on Juno in a quickprojects shapefile,,,No,0,0,Minnow-102_4/9/2018,48.14651584,-123.183808,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,22456d7d-f626-4446-b3ac-cd37d59d285e,-123.183808,48.14651584
141,Minnow,101,20180409,20180411,No,Originally gps'd on Juno in a quickprojects shapefile,,,No,0,0,Minnow-101_4/9/2018,48.14639798,-123.1836632,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,3e5ccc0c-f5b0-4fb0-92da-2f58b73fe385,-123.1836632,48.14639798
142,Fukui,102,20180409,20180411,No,Originally gps'd on Juno in a quickprojects shapefile,,,No,0,0,Fukui-102_4/9/2018,48.146482,-123.183671,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,501a1f25-28e6-4a6e-bb73-2749b7f8cbeb,-123.183671,48.146482
143,Fukui,101,20180409,20180411,No,Originally gps'd on Juno in a quickprojects shapefile,,,No,0,0,Fukui-101_4/9/2018,48.14652894,-123.1835418,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,abfee5f4-73c3-44e8-bacf-1e550c3d7e1c,-123.1835418,48.14652894
144,Minnow,11,20180416,20180420,No,,,,No,0,0,Minnow-011_4/16/2018,48.17422371,-123.137247,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,80994e33-f88a-45be-896b-b890ccb96aff,-123.137247,48.17422371
145,Fukui,102,20180416,20180420,No,,,,No,0,0,Fukui-102_4/16/2018,48.14647092,-123.1836689,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,3a27ba9a-7d9d-4579-bec9-a7bda4e3b956,-123.1836689,48.14647092
146,Fukui,101,20180416,20180420,No,,,,No,0,0,Fukui-101_4/16/2018,48.14653086,-123.1835111,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,1199bb65-29db-4684-965f-c8c91cd54ffa,-123.1835111,48.14653086
147,Minnow,103,20180416,20180420,No,,,,No,0,0,Minnow-103_4/16/2018,48.14648722,-123.183749,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,0f73a040-41a1-4d42-91ed-789b467875c7,-123.183749,48.14648722
148,Minnow,102,20180416,20180420,No,,,,No,0,0,Minnow-102_4/16/2018,48.14645776,-123.1835714,12/16/2020 4:23,KSO,12/16/2020 4:29,KSO,88175dff-906c-4ca6-9e4e-b7b05198fabd,-123.1835714,48.14645776
