OBJECTID,Trap Type,Trap Number,Trap Set Date,Trap Pull Date,Active,Location Notes,Week,Site Name,EGC Captured?,Prospecting Trap?,MMP Trap?,TrapIDJoin,Latitude,Longitude,created_date,created_user,last_edited_date,last_edited_user,GlobalID,x,y
51,Fukui,102,20200408,20200409,No,,1,Base Lagoon,No,No,Yes,Fukui-102_4/8/2020 8:47:17 PM,48.14646956,-123.183508,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,4c46fc82-ac00-4fb1-8b09-46e0082a1806,-123.183508,48.14646956
52,Minnow,102,20200408,20200409,No,,1,Base Lagoon,No,No,Yes,Minnow-102_4/8/2020 8:47:55 PM,48.14642267,-123.1835652,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,6e4f2714-cd2d-4419-94f5-9c84bb468c20,-123.1835652,48.14642267
53,Fukui,103,20200408,20200409,No,,1,Base Lagoon,No,No,Yes,Fukui-103_4/8/2020 8:47:55 PM,48.14644356,-123.1836537,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,16683280-f9ef-4042-98d6-476f70676e42,-123.1836537,48.14644356
54,Minnow,103,20200408,20200409,No,,1,Base Lagoon,No,No,Yes,Minnow-103_4/8/2020 8:53:31 PM,48.14645289,-123.1837126,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,00c6514f-7e08-4a48-83db-aa51987e81c1,-123.1837126,48.14645289
49,Fukui,101,20200408,20200409,No,,1,Base Lagoon,No,Yes,Yes,Fukui-101_4/8/2020 8:44:57 PM,48.14663744,-123.1835138,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,6e410b33-ee12-48b1-abd2-ae0c757f1005,-123.1835138,48.14663744
50,Minnow,101,20200408,20200409,No,,1,Base Lagoon,No,Yes,Yes,Minnow-101_4/8/2020 8:45:37 PM,48.14654967,-123.1834889,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,ee3e9971-d0ed-4a9f-8366-17cdc308f4af,-123.1834889,48.14654967
97,Fukui,102,20200413,20200415,No,,2,Base Lagoon,No,No,No,Fukui-102_4/13/2020,48.14646956,-123.183508,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,315439b4-7606-429f-8337-13ab5d075ed2,-123.183508,48.14646956
98,Minnow,102,20200413,20200415,No,,2,Base Lagoon,No,No,No,Minnow-102_4/13/2020,48.14642267,-123.1835652,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,5d635acd-bc1d-4445-9d6d-f8820e3ab777,-123.1835652,48.14642267
99,Fukui,103,20200413,20200415,No,,2,Base Lagoon,No,No,No,Fukui-103_4/13/2020,48.14644356,-123.1836537,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,d3f45d4b-fd7f-461c-bac4-3f9d9a997a47,-123.1836537,48.14644356
100,Minnow,103,20200413,20200415,No,,2,Base Lagoon,No,No,No,Minnow-103_4/13/2020,48.14645289,-123.1837126,12/16/2020 4:27,KSO,12/16/2020 4:27,KSO,2c7ad281-9e86-45f4-9a7d-08d0899165d4,-123.1837126,48.14645289
